title_found,label
Junior Salesforce Consultant,1.0
Senior Salesforce Consultant,1.0
Senior Consultant / Delivery Manager,1.0
Salesforce Consultant,1.0
CUSTOMER SUPPORT TECHNICIAN,1.0
Java Developer,1.0
TEAM MEMBER,0.0
IT Manager,1.0
Financial Analyst,1.0
Contract Director,1.0
Electrical Engineer,1.0
Python Developer,1.0
Supervisor,1.0
Executive Assistant,1.0
Java Software Developer,1.0
Project Manager,1.0
Senior Engineer,1.0
Senior QA Engineer,1.0
Senior Java Engineer,1.0
Assistant Accountant,1.0
General Ledger Accountant,1.0
Finance Systems Reporting Analyst,1.0
Retail & Admissions Supervisor,1.0
AttractionÂ Assistant,1.0
Cook,1.0
Catering Assistants,1.0
Retail & Admissions,0.0
Assistant,1.0
Marketing & Sales Manager,1.0
Associate,1.0
Business Development Manager,1.0
Support Worker,1.0
Consummate Care Ltd,0.0
CQC overall rating :,0.0
Outstanding,0.0
Office Manager,1.0
"Â£26,000 Annual",0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
Senior Insight Manager,1.0
Insight Agent (Telephone) Full time and part time roles - Office based role,1.0
Interested in becoming part of our team?,0.0
Â£,0.0
0,0.0
STAGE 1 PACKAGES,0.0
STAGE 2 PACKAGES,0.0
STAGE 3 PACKAGES,0.0
GEARBOX/TCU SOFTWARE,0.0
Pay Deposit,0.0
More about Revo...,0.0
MORE INFORMATION / QUOTES,0.0
VIEW STAGE 1 PACKAGE,0.0
VIEW PRODUCT,0.0
Vehicle Technician,1.0
Graphic Designer & Content Creator,1.0
Customer Support,0.0
GET STARTED >>>,0.0
Report a problem,0.0
Vulnerable Customer Policy,0.0
Careers,0.0
More info,0.0
Accept,0.0
T&Cs Apply,0.0
